time,true,pred_finetuned,pred_persistence
2018-09-01,-0.16458915,0.11807528,0.11480031907558441
2018-10-01,-0.3162848,-0.0785753,-0.16458915174007416
2018-11-01,-0.2985055,-0.2141702,-0.31628480553627014
2018-12-01,0.041939057,-0.19506098,-0.2985055148601532
2019-01-01,0.1293643,-0.0316501,0.041939057409763336
2019-02-01,0.12816688,-0.021036517,0.12936429679393768
2019-03-01,-0.27521783,-0.108500615,0.12816688418388367
2019-04-01,-0.55640256,-0.2716138,-0.27521783113479614
2019-05-01,-0.5714255,-0.38987473,-0.5564025640487671
2019-06-01,-0.42399776,-0.3481262,-0.5714254975318909
2019-07-01,-0.46985137,-0.25241527,-0.42399775981903076
2019-08-01,-0.5200499,-0.27696005,-0.46985137462615967
2019-09-01,-0.7222434,-0.25356534,-0.5200499296188354
2019-10-01,-0.88386554,-0.43072549,-0.7222434282302856
2019-11-01,-1.0165235,-0.53875244,-0.8838655352592468
2019-12-01,-0.87637055,-0.624897,-1.0165234804153442
2020-01-01,-0.75252044,-0.54760665,-0.8763705492019653
2020-02-01,-0.4576641,-0.53508514,-0.7525204420089722
2020-03-01,-0.34178174,-0.39866295,-0.4576641023159027
2020-04-01,-0.08616122,-0.33162963,-0.34178173542022705
2020-05-01,-0.1373175,-0.19709283,-0.08616121858358383
2020-06-01,0.03389205,-0.1269944,-0.13731749355793
2020-07-01,-0.03614594,-0.013148725,0.03389205038547516
2020-08-01,-0.056699954,-0.05496498,-0.03614594042301178
2020-09-01,-0.0022363928,-0.050761107,-0.056699953973293304
2020-10-01,0.34153974,0.0219707,-0.002236392814666033
2020-11-01,0.43015704,0.21434925,0.34153974056243896
2020-12-01,0.31904453,0.19645281,0.43015703558921814
2021-01-01,0.09039502,0.20658845,0.3190445303916931
2021-02-01,-0.03152716,0.14107636,0.0903950184583664
2021-03-01,-0.049241867,-0.0048198625,-0.031527161598205566
2021-04-01,-0.010882436,-0.014983956,-0.049241866916418076
2021-05-01,-0.22458023,-0.0073585324,-0.01088243629783392
2021-06-01,-0.13083631,-0.031347778,-0.22458022832870483
2021-07-01,-0.16553521,0.0016099624,-0.13083630800247192
2021-08-01,0.080360085,0.0085672885,-0.16553521156311035
2021-09-01,0.29333785,0.1442116,0.08036008477210999
2021-10-01,0.59034973,0.2511808,0.2933378517627716
2021-11-01,0.56499434,0.33387074,0.5903497338294983
2021-12-01,0.5762012,0.3169974,0.5649943351745605
2022-01-01,0.17183885,0.32601532,0.5762012004852295
2022-02-01,0.57209396,0.038071733,0.17183884978294373
2022-03-01,0.67761385,0.28744116,0.5720939636230469
2022-04-01,0.6823667,0.30698946,0.6776138544082642
2022-05-01,0.5657698,0.3039736,0.6823667287826538
2022-06-01,0.41645232,0.37716106,0.5657697916030884
2022-07-01,0.31070274,0.3119014,0.4164523184299469
2022-08-01,0.29766652,0.2930043,0.31070274114608765
2022-09-01,0.37183836,0.30407095,0.2976665198802948
2022-10-01,0.68670195,0.30419767,0.37183836102485657
2022-11-01,0.73937666,0.4355252,0.6867019534111023
2022-12-01,0.6865633,0.42202148,0.7393766641616821
