time,true,pred_zeroshot,pred_persistence
2018-09-01,-0.16458915,0.25974178,0.11480031907558441
2018-10-01,-0.3162848,0.09590571,-0.16458915174007416
2018-11-01,-0.2985055,-0.025570668,-0.31628480553627014
2018-12-01,0.041939057,0.0027896687,-0.2985055148601532
2019-01-01,0.1293643,0.13233005,0.041939057409763336
2019-02-01,0.12816688,0.11464628,0.12936429679393768
2019-03-01,-0.27521783,0.0031390227,0.12816688418388367
2019-04-01,-0.55640256,-0.09571206,-0.27521783113479614
2019-05-01,-0.5714255,-0.17163113,-0.5564025640487671
2019-06-01,-0.42399776,-0.102353655,-0.5714254975318909
2019-07-01,-0.46985137,-0.0032347925,-0.42399775981903076
2019-08-01,-0.5200499,-0.030985735,-0.46985137462615967
2019-09-01,-0.7222434,0.01098856,-0.5200499296188354
2019-10-01,-0.88386554,-0.20078152,-0.7222434282302856
2019-11-01,-1.0165235,-0.29763412,-0.8838655352592468
2019-12-01,-0.87637055,-0.39099693,-1.0165234804153442
2020-01-01,-0.75252044,-0.29083228,-0.8763705492019653
2020-02-01,-0.4576641,-0.3094206,-0.7525204420089722
2020-03-01,-0.34178174,-0.19853008,-0.4576641023159027
2020-04-01,-0.08616122,-0.12621927,-0.34178173542022705
2020-05-01,-0.1373175,-0.011936992,-0.08616121858358383
2020-06-01,0.03389205,0.09206322,-0.13731749355793
2020-07-01,-0.03614594,0.18721089,0.03389205038547516
2020-08-01,-0.056699954,0.16644472,-0.03614594042301178
2020-09-01,-0.0022363928,0.16472703,-0.056699953973293304
2020-10-01,0.34153974,0.22540072,-0.002236392814666033
2020-11-01,0.43015704,0.34878692,0.34153974056243896
2020-12-01,0.31904453,0.28527972,0.43015703558921814
2021-01-01,0.09039502,0.30858845,0.3190445303916931
2021-02-01,-0.03152716,0.2613301,0.0903950184583664
2021-03-01,-0.049241867,0.1065899,-0.031527161598205566
2021-04-01,-0.010882436,0.11401037,-0.049241866916418076
2021-05-01,-0.22458023,0.108988516,-0.01088243629783392
2021-06-01,-0.13083631,0.14816022,-0.22458022832870483
2021-07-01,-0.16553521,0.1716426,-0.13083630800247192
2021-08-01,0.080360085,0.20057014,-0.16553521156311035
2021-09-01,0.29333785,0.29785815,0.08036008477210999
2021-10-01,0.59034973,0.363849,0.2933378517627716
2021-11-01,0.56499434,0.3825633,0.5903497338294983
2021-12-01,0.5762012,0.36344844,0.5649943351745605
2022-01-01,0.17183885,0.36342394,0.5762012004852295
2022-02-01,0.57209396,0.13222414,0.17183884978294373
2022-03-01,0.67761385,0.3189974,0.5720939636230469
2022-04-01,0.6823667,0.32832885,0.6776138544082642
2022-05-01,0.5657698,0.32210726,0.6823667287826538
2022-06-01,0.41645232,0.41388005,0.5657697916030884
2022-07-01,0.31070274,0.38102472,0.4164523184299469
2022-08-01,0.29766652,0.37610465,0.31070274114608765
2022-09-01,0.37183836,0.39258868,0.2976665198802948
2022-10-01,0.68670195,0.37701154,0.37183836102485657
2022-11-01,0.73937666,0.4511362,0.6867019534111023
2022-12-01,0.6865633,0.42984846,0.7393766641616821
