region,time,spei_true,spei_pred_persistence
SADC,2000-02-01,0.3264700472354889,0.1588115692138672
SADC,2000-03-01,0.5859271287918091,0.3264700472354889
SADC,2000-04-01,0.5317598581314087,0.5859271287918091
SADC,2000-05-01,0.4776468276977539,0.5317598581314087
SADC,2000-06-01,0.10700583457946777,0.4776468276977539
SADC,2000-07-01,0.1798359751701355,0.10700583457946777
SADC,2000-08-01,-0.020213346928358078,0.1798359751701355
SADC,2000-09-01,-0.13177524507045746,-0.020213346928358078
SADC,2000-10-01,-0.2816421687602997,-0.13177524507045746
SADC,2000-11-01,0.2623881697654724,-0.2816421687602997
SADC,2000-12-01,0.1512884795665741,0.2623881697654724
SADC,2001-01-01,0.10010594874620438,0.1512884795665741
SADC,2001-02-01,0.14306898415088654,0.10010594874620438
SADC,2001-03-01,0.13391618430614471,0.14306898415088654
SADC,2001-04-01,0.2882711887359619,0.13391618430614471
SADC,2001-05-01,0.19299249351024628,0.2882711887359619
SADC,2001-06-01,-0.00363723817281425,0.19299249351024628
SADC,2001-07-01,-0.061081886291503906,-0.00363723817281425
SADC,2001-08-01,-0.33146682381629944,-0.061081886291503906
SADC,2001-09-01,-0.16932646930217743,-0.33146682381629944
SADC,2001-10-01,-0.2870720326900482,-0.16932646930217743
SADC,2001-11-01,0.1538202464580536,-0.2870720326900482
SADC,2001-12-01,0.0744779035449028,0.1538202464580536
SADC,2002-01-01,0.14704357087612152,0.0744779035449028
SADC,2002-02-01,-0.20140978693962097,0.14704357087612152
SADC,2002-03-01,-0.3278465270996094,-0.20140978693962097
SADC,2002-04-01,-0.5448046326637268,-0.3278465270996094
SADC,2002-05-01,-0.31285396218299866,-0.5448046326637268
SADC,2002-06-01,0.07356324046850204,-0.31285396218299866
SADC,2002-07-01,-0.526527464389801,0.07356324046850204
SADC,2002-08-01,-0.1495812088251114,-0.526527464389801
SADC,2002-09-01,0.09740404039621353,-0.1495812088251114
SADC,2002-10-01,0.3032980263233185,0.09740404039621353
SADC,2002-11-01,0.01855650171637535,0.3032980263233185
SADC,2002-12-01,-0.17821039259433746,0.01855650171637535
SADC,2003-01-01,-0.3279108703136444,-0.17821039259433746
SADC,2003-02-01,-0.38694074749946594,-0.3279108703136444
SADC,2003-03-01,-0.406525194644928,-0.38694074749946594
SADC,2003-04-01,-0.3851540982723236,-0.406525194644928
SADC,2003-05-01,-0.27084317803382874,-0.3851540982723236
SADC,2003-06-01,-0.3021259605884552,-0.27084317803382874
SADC,2003-07-01,-0.23311688005924225,-0.3021259605884552
SADC,2003-08-01,-0.2605772316455841,-0.23311688005924225
SADC,2003-09-01,-0.4203934371471405,-0.2605772316455841
