region,model,rmse_mean,mae_mean,corr_mean,n_months,time_start,time_end
SADC,persistence_lead1,0.23251937153341382,0.17966325229033828,0.7873622493875493,275,2000-02-01,2022-12-01
SEA,persistence_lead1,0.2143203767632055,0.16906880207952452,0.862989878487715,275,2000-02-01,2022-12-01
